timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1772999100.0,1.359,1.3597,1.3529,1.3561,92690.52,0.0,0.0,0
15m,1773000000.0,1.3561,1.3566,1.3522,1.3529,80238.9,0.0,0.0,0
15m,1773000900.0,1.3529,1.3551,1.3521,1.353,55804.98,0.0,0.0,0
15m,1773001800.0,1.353,1.3626,1.3528,1.3577,215200.79,0.0,0.0,0
15m,1773002700.0,1.3577,1.3578,1.3533,1.3534,76960.28,0.0,0.0,0
15m,1773003600.0,1.3534,1.3544,1.3442,1.3455,333012.04,0.0,0.0,0
15m,1773004500.0,1.3455,1.3492,1.345,1.3479,98920.03,0.0,0.0,0
15m,1773005400.0,1.3479,1.3489,1.3464,1.3476,84560.55,0.0,0.0,0
15m,1773006300.0,1.3476,1.3488,1.3468,1.3478,68154.03,0.0,0.0,0
15m,1773007200.0,1.3478,1.3478,1.3218,1.3344,2141787.56,0.0,0.0,0
15m,1773008100.0,1.3344,1.3421,1.3283,1.3398,841209.19,0.0,0.0,0
15m,1773009000.0,1.3398,1.3492,1.3361,1.343,405139.33,0.0,0.0,0
15m,1773009900.0,1.343,1.3482,1.3425,1.3455,222931.15,0.0,0.0,0
15m,1773010800.0,1.3455,1.3501,1.3427,1.3483,353529.31,0.0,0.0,0
15m,1773011700.0,1.3483,1.3497,1.3454,1.3474,115081.81,0.0,0.0,0
15m,1773012600.0,1.3474,1.3488,1.3418,1.3422,259804.92,0.0,0.0,0
15m,1773013500.0,1.3422,1.3454,1.3389,1.3403,269512.92,0.0,0.0,0
15m,1773014400.0,1.3403,1.3507,1.3398,1.3495,520998.63,0.0,0.0,0
15m,1773015300.0,1.3495,1.3517,1.3389,1.3474,540530.33,0.0,0.0,0
15m,1773016200.0,1.3474,1.3604,1.3472,1.3525,513027.5,0.0,0.0,0
15m,1773017100.0,1.3525,1.3548,1.3482,1.3493,258551.15,0.0,0.0,0
15m,1773018000.0,1.3493,1.3497,1.3428,1.346,216726.22,0.0,0.0,0
15m,1773018900.0,1.346,1.3524,1.346,1.3487,292876.74,0.0,0.0,0
15m,1773019800.0,1.3487,1.3537,1.3457,1.351,315085.32,0.0,0.0,0
15m,1773020700.0,1.351,1.3513,1.3414,1.3422,178402.38,0.0,0.0,0
15m,1773021600.0,1.3422,1.3472,1.3387,1.3423,186589.11,0.0,0.0,0
15m,1773022500.0,1.3423,1.343,1.339,1.3395,133257.32,0.0,0.0,0
15m,1773023400.0,1.3395,1.3495,1.3377,1.3481,296160.41,0.0,0.0,0
15m,1773024300.0,1.3481,1.35,1.346,1.346,233999.29,0.0,0.0,0
15m,1773025200.0,1.346,1.3639,1.3452,1.3617,852835.13,0.0,0.0,0
15m,1773026100.0,1.3617,1.3653,1.3535,1.3563,691614.73,0.0,0.0,0
15m,1773027000.0,1.3563,1.3577,1.3511,1.3515,219381.99,0.0,0.0,0
15m,1773027900.0,1.3515,1.3524,1.3484,1.3507,171558.43,0.0,0.0,0
15m,1773028800.0,1.3507,1.3534,1.3501,1.3516,70130.82,0.0,0.0,0
15m,1773029700.0,1.3516,1.3558,1.3502,1.3551,79878.24,0.0,0.0,0
15m,1773030600.0,1.3551,1.3551,1.3498,1.3513,52047.43,0.0,0.0,0
15m,1773031500.0,1.3513,1.3521,1.344,1.344,66397.94,0.0,0.0,0
15m,1773032400.0,1.344,1.3454,1.3422,1.3444,83453.62,0.0,0.0,0
15m,1773033300.0,1.3444,1.3493,1.3443,1.3452,214676.6,0.0,0.0,0
15m,1773034200.0,1.3452,1.3571,1.3439,1.3544,525620.53,0.0,0.0,0
15m,1773035100.0,1.3544,1.3587,1.3516,1.3549,392375.47,0.0,0.0,0
15m,1773036000.0,1.3549,1.3558,1.3523,1.3545,353953.09,0.0,0.0,0
15m,1773036900.0,1.3545,1.3587,1.3524,1.3525,91923.39,0.0,0.0,0
15m,1773037800.0,1.3525,1.3538,1.3446,1.3461,124830.92,0.0,0.0,0
15m,1773038700.0,1.3461,1.3475,1.3446,1.345,171207.07,0.0,0.0,0
15m,1773039600.0,1.345,1.3454,1.3389,1.3394,574663.56,0.0,0.0,0
15m,1773040500.0,1.3394,1.3413,1.333,1.338,694139.1,0.0,0.0,0
15m,1773041400.0,1.338,1.3411,1.3376,1.3392,683499.54,0.0,0.0,0
15m,1773042300.0,1.3392,1.3416,1.3381,1.3408,571403.5,0.0,0.0,0
15m,1773043200.0,1.3408,1.3446,1.3396,1.3437,425465.56,0.0,0.0,0
15m,1773044100.0,1.3437,1.3482,1.3413,1.346,318453.99,0.0,0.0,0
15m,1773045000.0,1.346,1.3484,1.3422,1.3437,161473.48,0.0,0.0,0
15m,1773045900.0,1.3437,1.3467,1.3427,1.3463,91662.83,0.0,0.0,0
15m,1773046800.0,1.3463,1.3468,1.3415,1.346,125495.47,0.0,0.0,0
15m,1773047700.0,1.346,1.3518,1.3451,1.3502,389817.06,0.0,0.0,0
15m,1773048600.0,1.3502,1.3631,1.3475,1.3617,498895.66,0.0,0.0,0
15m,1773049500.0,1.3617,1.3633,1.3537,1.3551,331415.36,0.0,0.0,0
15m,1773050400.0,1.3551,1.3565,1.3531,1.3544,144150.32,0.0,0.0,0
15m,1773051300.0,1.3544,1.356,1.3526,1.3526,94803.58,0.0,0.0,0
15m,1773052200.0,1.3526,1.3533,1.3476,1.3487,132717.83,0.0,0.0,0
15m,1773053100.0,1.3487,1.3487,1.3457,1.3475,78995.79,0.0,0.0,0
15m,1773054000.0,1.3475,1.3489,1.3462,1.3477,79058.2,0.0,0.0,0
15m,1773054900.0,1.3477,1.3477,1.3417,1.3449,214219.29,0.0,0.0,0
15m,1773055800.0,1.3449,1.3499,1.3445,1.3493,94383.15,0.0,0.0,0
15m,1773056700.0,1.3493,1.3515,1.3476,1.3502,126994.47,0.0,0.0,0
15m,1773057600.0,1.3502,1.3527,1.3498,1.3522,110717.33,0.0,0.0,0
15m,1773058500.0,1.3522,1.3572,1.3517,1.3571,151951.81,0.0,0.0,0
15m,1773059400.0,1.3571,1.358,1.353,1.3547,375518.6,0.0,0.0,0
15m,1773060300.0,1.3547,1.3557,1.353,1.3548,122116.35,0.0,0.0,0
15m,1773061200.0,1.3548,1.3619,1.3542,1.36,147230.52,0.0,0.0,0
15m,1773062100.0,1.36,1.3662,1.3557,1.3652,244959.21,0.0,0.0,0
15m,1773063000.0,1.3652,1.3716,1.3616,1.3713,666029.4,0.0,0.0,0
15m,1773063900.0,1.3713,1.3728,1.3643,1.3681,1143842.98,0.0,0.0,0
15m,1773064800.0,1.3681,1.3721,1.3591,1.3619,843078.11,0.0,0.0,0
15m,1773065700.0,1.3619,1.3731,1.3613,1.3658,1022657.66,0.0,0.0,0
15m,1773066600.0,1.3658,1.3698,1.3645,1.3686,445718.98,0.0,0.0,0
15m,1773067500.0,1.3686,1.3688,1.3636,1.3649,337946.22,0.0,0.0,0
15m,1773068400.0,1.3649,1.3672,1.3619,1.3658,298251.2,0.0,0.0,0
15m,1773069300.0,1.3658,1.3676,1.3628,1.3649,194414.74,0.0,0.0,0
15m,1773070200.0,1.3649,1.3661,1.3562,1.3597,252712.41,0.0,0.0,0
15m,1773071100.0,1.3597,1.3634,1.3587,1.3604,272198.22,0.0,0.0,0
15m,1773072000.0,1.3604,1.3649,1.3587,1.3616,128740.3,0.0,0.0,0
15m,1773072900.0,1.3616,1.3674,1.3611,1.3654,137331.33,0.0,0.0,0
15m,1773073800.0,1.3654,1.3665,1.3598,1.3652,120626.52,0.0,0.0,0
15m,1773074700.0,1.3652,1.3704,1.3628,1.3647,106125.67,0.0,0.0,0
15m,1773075600.0,1.3647,1.3704,1.3646,1.3687,556453.91,0.0,0.0,0
15m,1773076500.0,1.3687,1.3698,1.3637,1.364,192616.41,0.0,0.0,0
15m,1773077400.0,1.364,1.3667,1.3595,1.3615,334613.61,0.0,0.0,0
15m,1773078300.0,1.3615,1.3643,1.3605,1.3625,142771.24,0.0,0.0,0
15m,1773079200.0,1.3625,1.3625,1.3561,1.3595,210257.61,0.0,0.0,0
15m,1773080100.0,1.3595,1.3648,1.359,1.3641,148422.92,0.0,0.0,0
15m,1773081000.0,1.3641,1.3685,1.364,1.3644,260651.22,0.0,0.0,0
15m,1773081900.0,1.3644,1.3646,1.3601,1.3616,97122.94,0.0,0.0,0
15m,1773082800.0,1.3616,1.3628,1.3564,1.3567,160230.82,0.0,0.0,0
15m,1773083700.0,1.3567,1.3819,1.3564,1.3813,1726750.59,0.0,0.0,0
15m,1773084600.0,1.3813,1.3839,1.3678,1.3698,2039710.65,0.0,0.0,0
15m,1773085500.0,1.3698,1.3739,1.3676,1.3733,257300.27,0.0,0.0,0
15m,1773086400.0,1.3733,1.38,1.3728,1.3746,474998.89,0.0,0.0,0
15m,1773087300.0,1.3746,1.3752,1.371,1.3739,222991.79,0.0,0.0,0
15m,1773088200.0,1.3739,1.3741,1.3681,1.3685,188606.84,0.0,0.0,0
15m,1773089100.0,1.3685,1.3745,1.3673,1.3733,129081.99,0.0,0.0,0
15m,1773090000.0,1.3733,1.3772,1.3728,1.3761,289146.31,0.0,0.0,0
15m,1773090900.0,1.3761,1.3763,1.3732,1.3735,271117.29,0.0,0.0,0
15m,1773091800.0,1.3735,1.3758,1.3699,1.3749,210326.31,0.0,0.0,0
15m,1773092700.0,1.3749,1.3758,1.3735,1.3739,89691.22,0.0,0.0,0
15m,1773093600.0,1.3739,1.3757,1.3681,1.3698,291731.73,0.0,0.0,0
15m,1773094500.0,1.3698,1.3723,1.3685,1.3716,111460.91,0.0,0.0,0
15m,1773095400.0,1.3716,1.3716,1.3651,1.3673,283971.19,0.0,0.0,0
15m,1773096300.0,1.3673,1.3674,1.3627,1.3645,303680.76,0.0,0.0,0
15m,1773097200.0,1.3645,1.3677,1.3632,1.3677,177550.43,0.0,0.0,0
15m,1773098100.0,1.3677,1.3677,1.3636,1.3638,95925.08,0.0,0.0,0
15m,1773099000.0,1.3638,1.3649,1.363,1.3635,77464.77,0.0,0.0,0
15m,1773099900.0,1.3635,1.3635,1.3606,1.3632,110581.46,0.0,0.0,0
