timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1751117400.0,2.1846,2.1898,2.1824,2.1888,202948.06,0.0,0.0,0
15m,1751118300.0,2.1888,2.1929,2.1883,2.1929,316371.45,0.0,0.0,0
15m,1751119200.0,2.1929,2.1961,2.1924,2.1928,283477.02,0.0,0.0,0
15m,1751120100.0,2.1928,2.1971,2.1928,2.195,114227.42,0.0,0.0,0
15m,1751121000.0,2.195,2.1955,2.1915,2.1917,176862.14,0.0,0.0,0
15m,1751121900.0,2.1917,2.1975,2.1915,2.1972,283121.13,0.0,0.0,0
15m,1751122800.0,2.1972,2.1987,2.1949,2.196,349650.78,0.0,0.0,0
15m,1751123700.0,2.196,2.1968,2.1934,2.1958,110669.32,0.0,0.0,0
15m,1751124600.0,2.1958,2.1984,2.1948,2.1967,75573.43,0.0,0.0,0
15m,1751125500.0,2.1967,2.2064,2.1967,2.2036,551916.17,0.0,0.0,0
15m,1751126400.0,2.2036,2.2077,2.1988,2.2002,434206.34,0.0,0.0,0
15m,1751127300.0,2.2002,2.2038,2.1978,2.2028,373510.12,0.0,0.0,0
15m,1751128200.0,2.2028,2.2036,2.1944,2.1961,301696.43,0.0,0.0,0
15m,1751129100.0,2.1961,2.1963,2.1921,2.1926,151401.42,0.0,0.0,0
15m,1751130000.0,2.1926,2.1957,2.1925,2.1956,367611.56,0.0,0.0,0
15m,1751130900.0,2.1956,2.1969,2.191,2.1925,126524.34,0.0,0.0,0
15m,1751131800.0,2.1925,2.2009,2.1913,2.198,344740.88,0.0,0.0,0
15m,1751132700.0,2.198,2.2023,2.1976,2.1995,272395.82,0.0,0.0,0
15m,1751133600.0,2.1995,2.1999,2.1932,2.1945,183111.26,0.0,0.0,0
15m,1751134500.0,2.1945,2.1948,2.1859,2.1886,243113.85,0.0,0.0,0
15m,1751135400.0,2.1886,2.1902,2.1853,2.1862,161524.61,0.0,0.0,0
15m,1751136300.0,2.1862,2.1924,2.1855,2.1915,102217.77,0.0,0.0,0
15m,1751137200.0,2.1915,2.1917,2.188,2.1888,72631.33,0.0,0.0,0
15m,1751138100.0,2.1888,2.1898,2.1874,2.1883,49956.51,0.0,0.0,0
15m,1751139000.0,2.1883,2.1884,2.185,2.1868,79616.63,0.0,0.0,0
15m,1751139900.0,2.1868,2.1873,2.1847,2.1858,86806.64,0.0,0.0,0
15m,1751140800.0,2.1858,2.1861,2.182,2.1828,256358.4,0.0,0.0,0
15m,1751141700.0,2.1828,2.1856,2.1783,2.1847,247285.66,0.0,0.0,0
15m,1751142600.0,2.1847,2.1862,2.1817,2.1817,128248.23,0.0,0.0,0
15m,1751143500.0,2.1817,2.1834,2.1802,2.1802,75695.33,0.0,0.0,0
15m,1751144400.0,2.1802,2.1809,2.1772,2.1796,114045.37,0.0,0.0,0
15m,1751145300.0,2.1796,2.1823,2.1783,2.1823,54735.95,0.0,0.0,0
15m,1751146200.0,2.1823,2.185,2.1803,2.1817,59180.95,0.0,0.0,0
15m,1751147100.0,2.1817,2.188,2.1815,2.1871,140235.29,0.0,0.0,0
15m,1751148000.0,2.1871,2.1889,2.1838,2.1845,91115.23,0.0,0.0,0
